category,title,upc,price_incl_tax,price_excl_tax,tax,rating,availability,stock_count,num_reviews,product_url,image_url,image_status,image_path,image_bytes
Travel,It's Only the Himalayas,a22124811bfa8350,45.17,45.17,0.0,2,In stock (19 available),19,0,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,https://books.toscrape.com/media/cache/6d/41/6d418a73cc7d4ecfd75ca11d854041db.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\travel\it-s-only-the-himalayas_fae52854.jpg,51619
Travel,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,ce60436f52c5ee68,49.43,49.43,0.0,4,In stock (15 available),15,0,https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,https://books.toscrape.com/media/cache/fe/8a/fe8af6ceec7718986380c0fde9b3b34f.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\travel\full-moon-over-noah-s-ark-an-odyssey-to-mount-ararat-and-bey_8165df2c.jpg,36555
Travel,See America: A Celebration of Our National Parks & Treasured Sites,f9705c362f070608,48.87,48.87,0.0,3,In stock (14 available),14,0,https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,https://books.toscrape.com/media/cache/c7/1a/c71a85dbf8c2dbc75cb271026618477c.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\travel\see-america-a-celebration-of-our-national-parks-treasured-si_00c0c55b.jpg,40131
Travel,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,1809259a5a5f1d8d,36.94,36.94,0.0,2,In stock (8 available),8,0,https://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html,https://books.toscrape.com/media/cache/ca/30/ca30b1afe1e76ce7ba1db8176d398e53.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\travel\vagabonding-an-uncommon-guide-to-the-art-of-long-term-world_2feeae12.jpg,33292
Mystery,Sharp Objects,e00eb4fd7b871a48,47.82,47.82,0.0,4,In stock (20 available),20,0,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,https://books.toscrape.com/media/cache/c0/59/c05972805aa7201171b8fc71a5b00292.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\mystery\sharp-objects_59046415.jpg,30784
Mystery,"In a Dark, Dark Wood",19ed25f4641d5efd,19.63,19.63,0.0,1,In stock (18 available),18,0,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,https://books.toscrape.com/media/cache/95/84/95840dfd67c020067c99d70451147e20.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\mystery\in-a-dark-dark-wood_d2e297ea.jpg,43871
Mystery,The Past Never Ends,5ee94540d0749ea0,56.5,56.5,0.0,4,In stock (16 available),16,0,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,https://books.toscrape.com/media/cache/9d/f2/9df248dcefeaba9eeb519a59b248f72c.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\mystery\the-past-never-ends_cae969b4.jpg,31384
Mystery,A Murder in Time,f733e8c19d40ec2e,16.64,16.64,0.0,1,In stock (16 available),16,0,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,https://books.toscrape.com/media/cache/cc/bd/ccbd7a62caefd5a3a2e04dd7c2ff48fe.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\mystery\a-murder-in-time_8200cc09.jpg,29669
Historical Fiction,Tipping the Velvet,90fa61229261140a,53.74,53.74,0.0,1,In stock (20 available),20,0,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,https://books.toscrape.com/media/cache/08/e9/08e94f3731d7d6b760dfbfbc02ca5c62.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\historical-fiction\tipping-the-velvet_b3ed4755.jpg,18504
Historical Fiction,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,9beb96a2300109d7,29.69,29.69,0.0,3,In stock (16 available),16,0,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,https://books.toscrape.com/media/cache/f9/9e/f99e760b894d10c6e5ed578618918367.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\historical-fiction\forever-and-forever-the-courtship-of-henry-longfellow-and-fa_6da23285.jpg,21423
Historical Fiction,A Flight of Arrows (The Pathfinders #2),3a6fb983e2554023,55.53,55.53,0.0,5,In stock (16 available),16,0,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html,https://books.toscrape.com/media/cache/ec/65/ec651ed66822d4b68938afa645b1ece2.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\historical-fiction\a-flight-of-arrows-the-pathfinders-2_e999f03e.jpg,35165
Historical Fiction,The House by the Lake,9287e238d7c3b06e,36.95,36.95,0.0,1,In stock (15 available),15,0,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html,https://books.toscrape.com/media/cache/46/a2/46a2c968bfccf1979cc5576085eec6dd.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\historical-fiction\the-house-by-the-lake_9364175e.jpg,40676
Sequential Art,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),3b1c02bac2a429e6,52.29,52.29,0.0,5,In stock (19 available),19,0,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,https://books.toscrape.com/media/cache/97/27/97275841c81e66d53bf9313cba06f23e.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\sequential-art\scott-pilgrim-s-precious-little-life-scott-pilgrim-1_78d425fe.jpg,39929
Sequential Art,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),09555be379ad9253,16.28,16.28,0.0,1,In stock (16 available),16,0,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,https://books.toscrape.com/media/cache/8b/ab/8bab133ec9f8248a8d5f5ea5c09d0f56.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\sequential-art\tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_01a22b0b.jpg,38977
Sequential Art,This One Summer,51653ef291ab7ddc,19.49,19.49,0.0,4,In stock (16 available),16,0,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,https://books.toscrape.com/media/cache/ee/43/ee4364a59d66bafb1b3264419ab3ed9e.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\sequential-art\this-one-summer_45a6aecd.jpg,45109
Sequential Art,The Nameless City (The Nameless City #1),7d385d34d12e60ff,38.16,38.16,0.0,4,In stock (16 available),16,0,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,https://books.toscrape.com/media/cache/19/de/19deee0778c2406da04a4dd0ea09188f.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\sequential-art\the-nameless-city-the-nameless-city-1_27e27e9c.jpg,76806
Classics,The Secret Garden,abbb492978ff656d,15.08,15.08,0.0,4,In stock (5 available),5,0,https://books.toscrape.com/catalogue/the-secret-garden_413/index.html,https://books.toscrape.com/media/cache/f1/78/f17805e88aed31aae352ab250b2a379d.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\classics\the-secret-garden_d729b0b9.jpg,55152
Classics,The Metamorphosis,93379e3a2072a01b,28.58,28.58,0.0,1,In stock (5 available),5,0,https://books.toscrape.com/catalogue/the-metamorphosis_409/index.html,https://books.toscrape.com/media/cache/9b/33/9b33c3c40c8d27054a3edf96cbf6a2fb.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\classics\the-metamorphosis_90765ed3.jpg,55635
